property_name,property_group,property_value,property_cost,property_rent,property_house1,property_house2,property_house3,property_house4,property_hotel
Go,go,NULL,NULL,-200,NULL,NULL,NULL,NULL,NULL
Old Kent Road,brown,60,50,2,10,30,90,160,250
Community Chest,chest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Whitechapel Road,brown,60,50,4,20,60,180,360,450
Income Tax,tax,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL
King's Cross Station,station,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Angel Islington,light blue,100,50,6,30,90,270,400,550
Chance,chance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Euston Road,light blue,100,50,6,30,90,270,400,550
Pentonville Road,light blue,120,50,8,40,100,300,450,600
Just Visiting,visiting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pall Mall,pink,140,100,10,50,150,450,625,750
Electric Company,utilities,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Whitehall,pink,140,100,10,50,150,450,625,750
Northumberland Avenue,pink,160,100,12,60,180,500,700,900
Marylebone Station,station,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bow Street,orange,180,100,14,70,200,550,750,950
Community Chest,chest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marlborough Street,orange,180,100,14,70,200,550,750,950
Vine Street,orange,200,100,16,80,220,600,800,1000
Free Parking,parking,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Strand,red,220,150,18,90,250,700,875,1050
Chance,chance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fleet Street,red,220,150,18,90,250,700,875,1050
Trafalgar Square,red,240,150,20,100,300,750,925,1100
Fenchurch St Station,station,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Leicester Square,yellow,260,150,22,110,330,800,975,1150
Coventry Street,yellow,260,150,22,110,330,800,975,1150
Water Works,utilities,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Piccadilly,yellow,280,150,22,120,360,850,1025,1200
Go To Jail,gojail,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Regent Street,green,300,200,26,130,390,900,1100,1275
Oxford Street,green,300,200,26,130,390,900,1100,1275
Community Chest,chest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bond Street,green,320,200,28,150,450,1000,1200,1400
Liverpool Street Station,station,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chance,chance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Park Lane,dark blue,350,200,35,175,500,1100,1300,1500
Super Tax,tax,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL
Mayfair,dark blue,400,200,50,200,600,1400,1700,2000
